symbol,date,open,high,low,close,Volume,,,,,,,
LUPIN,19-08-2025,1965,1986,1964.3,1984,138199,,,,,,,
LUPIN,18-08-2025,1975,1984.7,1950.9,1968.3,711882,,,,,,,
LUPIN,14-08-2025,1990,2009.8,1957.7,1961.6,859101,,,,,,,
LUPIN,13-08-2025,1943.8,2005.8,1943.8,1989.8,875771,,,,,,,
LUPIN,12-08-2025,1937.6,1960.7,1932,1943.8,1091418,,,,,,,
LUPIN,11-08-2025,1918,1950.7,1906.3,1944.8,1016105,,,,,,,
LUPIN,08-08-2025,1933,1939.2,1912.2,1918,1159423,,,,,,,
LUPIN,07-08-2025,1855.9,1952.7,1855,1944.2,4166570,,,,,,,
LUPIN,06-08-2025,1908,1908,1836.8,1851.8,2735877,,,,,,,
LUPIN,05-08-2025,1889,1890.9,1855.6,1864.5,877812,,,,,,,
LUPIN,04-08-2025,1883.9,1899,1857.1,1882.2,515426,,,,,,,
LUPIN,01-08-2025,1931,1931,1860.7,1867.3,1243065,,,,,,,
LUPIN,31-07-2025,1935,1969.8,1924.3,1929.1,1105512,,,,,,,
LUPIN,30-07-2025,1986,1992.1,1940,1984.6,754124,,,,,,,
LUPIN,29-07-2025,1954.9,1987,1947.7,1984.6,907495,,,,,,,
LUPIN,28-07-2025,1952,1984,1949,1960.5,784930,,,,,,,
LUPIN,25-07-2025,1932,1960,1924.9,1951,681217,,,,,,,
LUPIN,24-07-2025,1921.5,1955.9,1914.7,1941.4,667641,,,,,,,
LUPIN,23-07-2025,1905,1924,1905,1920.5,374768,,,,,,,
LUPIN,22-07-2025,1930,1947.5,1877.3,1903.2,2218870,,,,,,,
LUPIN,21-07-2025,1927,1942,1915,1921,508571,,,,,,,
LUPIN,18-07-2025,1949.5,1958.9,1926.5,1932.2,642199,,,,,,,
LUPIN,17-07-2025,1938,1961.6,1935,1955.7,582993,,,,,,,
LUPIN,16-07-2025,1950,1956,1925.2,1930.1,562381,,,,,,,
LUPIN,15-07-2025,1931,1960,1914.2,1950.7,989778,,,,,,,
LUPIN,14-07-2025,1894.7,1935,1888.6,1926.1,624180,,,,,,,
LUPIN,11-07-2025,1895,1903.8,1875,1894.7,1511071,,,,,,,
LUPIN,10-07-2025,1919.9,1922.5,1882,1894.8,2074057,,,,,,,
LUPIN,09-07-2025,1933.4,1965.5,1906.9,1914.2,1578005,,,,,,,
LUPIN,08-07-2025,1975,1977.5,1915,1922.1,1904205,,,,,,,
LUPIN,07-07-2025,1985,1990.8,1965,1978.6,475907,,,,,,,
LUPIN,04-07-2025,1962,1996,1957,1980.9,934950,,,,,,,
LUPIN,03-07-2025,1968.4,1968.5,1937.9,1954.8,739865,,,,,,,
LUPIN,02-07-2025,1975,1984,1942.7,1968.4,1446106,,,,,,,
LUPIN,01-07-2025,1949,1970,1905,1960.9,1092022,,,,,,,
LUPIN,30-06-2025,1938.5,1961.9,1925,1938,747414,,,,,,,
LUPIN,27-06-2025,1935.3,1952.8,1924.1,1935.2,3591856,,,,,,,
LUPIN,26-06-2025,1940,1941.1,1910,1928.7,1733659,,,,,,,
LUPIN,25-06-2025,1940,1953,1923.5,1935.3,585479,,,,,,,
LUPIN,24-06-2025,1941,1964.4,1926.2,1930.8,594546,,,,,,,
LUPIN,23-06-2025,1925.1,1948.1,1921.4,1927.2,615853,,,,,,,
LUPIN,20-06-2025,1928,1954.7,1920.6,1948,753312,,,,,,,
LUPIN,19-06-2025,1954,1955.8,1927.2,1931.8,617836,,,,,,,
LUPIN,18-06-2025,1944,1960.9,1932.5,1954,994189,,,,,,,
LUPIN,17-06-2025,2010.9,2019.6,1935.2,1944,1196883,,,,,,,
LUPIN,16-06-2025,1999.6,2015,1981,2010.9,513550,,,,,,,
LUPIN,13-06-2025,1998,2019,1980,1999.6,475900,,,,,,,
LUPIN,12-06-2025,2032,2049.5,2013.4,2023.2,1391074,,,,,,,
LUPIN,11-06-2025,2012.9,2029.4,2000.3,2026.6,983172,,,,,,,
LUPIN,10-06-2025,1994.6,2017.6,1987.8,2004.8,733750,,,,,,,
LUPIN,09-06-2025,2010,2013,1982.9,1994.6,1044214,,,,,,,
LUPIN,06-06-2025,2005,2007.9,1985.8,1999.6,1289550,,,,,,,
LUPIN,05-06-2025,1954,1999.8,1949,1995.2,1130246,,,,,,,
LUPIN,04-06-2025,1954,1969,1935,1944,551337,,,,,,,
LUPIN,03-06-2025,1970,1972.7,1948.2,1954,681118,,,,,,,
LUPIN,02-06-2025,1954,1964.4,1941.5,1961.1,498677,,,,,,,
LUPIN,30-05-2025,1970,1975,1941,1957.7,1340964,,,,,,,
LUPIN,29-05-2025,1960,1975,1949.2,1970.1,1008723,,,,,,,
LUPIN,28-05-2025,1971.5,1978.4,1938.4,1941.6,932231,,,,,,,
LUPIN,27-05-2025,1988.8,2000.3,1965,1970.2,672238,,,,,,,
LUPIN,26-05-2025,1984,2004.9,1971.5,1987.3,1159667,,,,,,,
LUPIN,23-05-2025,1978,1981.8,1946.9,1978.9,587965,,,,,,,
LUPIN,22-05-2025,1995.7,1998.7,1955.6,1968.7,989503,,,,,,,
LUPIN,21-05-2025,1974,2016.9,1968.2,1996,1555298,,,,,,,
LUPIN,20-05-2025,2037.6,2041,1963.5,1966.9,1568846,,,,,,,
LUPIN,19-05-2025,2072.1,2077,2025.6,2029.6,824580,,,,,,,
LUPIN,16-05-2025,2084,2084,2041,2068.4,2099648,,,,,,,
LUPIN,15-05-2025,2100,2118.9,2063.8,2072.9,2268766,,,,,,,
LUPIN,14-05-2025,2066.2,2086,2035.8,2071.4,1196372,,,,,,,
LUPIN,13-05-2025,2051.4,2114.3,2049.3,2064.4,1373008,,,,,,,
LUPIN,12-05-2025,1998,2045,1974,2039.8,1207946,,,,,,,
LUPIN,09-05-2025,1977.1,2048.2,1976.1,2037.4,558130,,,,,,,
LUPIN,08-05-2025,2078.8,2099.7,2006.7,2014.8,878435,,,,,,,
LUPIN,07-05-2025,2025.1,2074.9,2025.1,2071.4,687550,,,,,,,
LUPIN,06-05-2025,2055,2078.5,2014.6,2049,705896,,,,,,,
LUPIN,05-05-2025,2070,2100,2053,2085.3,1091556,,,,,,,
LUPIN,02-05-2025,2087,2116.8,2048,2057.1,743662,,,,,,,
LUPIN,30-04-2025,2071,2117,2070.9,2095.6,1018611,,,,,,,
LUPIN,29-04-2025,2107.7,2115.9,2053.2,2067.1,1122651,,,,,,,
LUPIN,28-04-2025,2019.6,2119,2015.1,2105.4,1393395,,,,,,,
LUPIN,25-04-2025,2110.8,2124.9,2011.2,2019.6,725961,,,,,,,
LUPIN,24-04-2025,2089.6,2149.5,2082.5,2104.1,1580520,,,,,,,
LUPIN,23-04-2025,2052,2104.1,2033.9,2089.5,1092068,,,,,,,
LUPIN,22-04-2025,2003,2061,1987,2046.7,1256110,,,,,,,
LUPIN,21-04-2025,1954.2,2014.6,1928.4,2009.2,966828,,,,,,,
LUPIN,17-04-2025,1935,1961.9,1922.1,1937.2,1443207,,,,,,,
LUPIN,16-04-2025,2008.2,2029.2,1921,1934.2,2011566,,,,,,,
